#  aims_uuid : 388BC64A-2B51-4D13-AD00-6382D47B5BC3                                
#  angular momentum projected density of states for species Si as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.019886 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
        0.73894965        0.43213098        0.03259358        0.21836083        0.17544145        0.00573511
        0.80583928        0.48191586        0.03605150        0.24426046        0.19468845        0.00691546
        0.87272891        0.53109208        0.03966926        0.26946812        0.21379220        0.00816249
        0.93961854        0.59058211        0.04688701        0.29811579        0.23578684        0.00979248
        1.00650817        0.66059911        0.05776458        0.33033461        0.26067789        0.01182203
        1.07339781        0.73736763        0.07085325        0.36501726        0.28733941        0.01415771
        1.14028744        0.82670771        0.08626469        0.40534386        0.31819310        0.01690607
        1.20717707        0.91956467        0.10283524        0.44730865        0.34953177        0.01988901
        1.27406670        1.01327517        0.12025972        0.48998443        0.38000626        0.02302476
        1.34095633        1.10875139        0.13876768        0.53396379        0.40972600        0.02629391
        1.40784597        1.20568931        0.15839558        0.57944346        0.43819069        0.02965957
        1.47473560        1.32688884        0.18166792        0.63640007        0.47513770        0.03368316
        1.54162523        1.50723512        0.21567669        0.72090967        0.53088950        0.03975926
        1.60851486        1.72315358        0.24974078        0.83331846        0.59279500        0.04729934
        1.67540450        1.90785211        0.27522404        0.93290441        0.64565813        0.05406553
        1.74229413        2.01896162        0.29105894        0.99192152        0.67710362        0.05887754
        1.80918376        2.05177062        0.29653402        1.00704447        0.68668940        0.06150273
        1.87607339        2.08270758        0.29974075        1.02087377        0.69805384        0.06403922
        1.94296302        2.01513659        0.28391336        0.97898924        0.69039770        0.06183628
        2.00985266        1.97533668        0.27879029        0.95520424        0.67989650        0.06144565
        2.07674229        1.84059463        0.26039615        0.88377590        0.63860695        0.05781564
        2.14363192        1.27134218        0.15519061        0.61121473        0.46491292        0.04002391
        2.21052155        0.94809044        0.10527399        0.45429477        0.35779743        0.03072424
        2.27741118        0.67800439        0.06333243        0.32593490        0.26566586        0.02307120
        2.34430082        0.58398231        0.04386631        0.29132723        0.22816719        0.02062159
        2.41119045        0.56209621        0.03678484        0.28862221        0.21616313        0.02052604
        2.47808008        0.60274767        0.03896099        0.31300562        0.22818593        0.02259513
        2.54496971        0.66234671        0.04501896        0.34418778        0.24766254        0.02547743
        2.61185934        0.72790559        0.05363295        0.37610991        0.26942763        0.02873510
        2.67874898        0.89913500        0.06854618        0.45992422        0.33475808        0.03590652
        2.74563861        1.26636728        0.09960091        0.63803012        0.47864782        0.05008842
        2.81252824        2.86745975        0.18978405        1.45851582        1.12981251        0.08934737
        2.87941787        3.42333571        0.29141584        1.81017026        1.20238495        0.11936465
        2.94630751        2.94240014        0.26280440        1.50867893        1.06304159        0.10787522
        3.01319714        2.18165516        0.19459708        1.09585037        0.80804292        0.08316479
        3.08008677        1.70011729        0.12606741        0.86233863        0.64857950        0.06313176
        3.14697640        1.60089053        0.08418223        0.82726916        0.63234224        0.05709690
        3.21386603        1.61582806        0.07656063        0.83294876        0.64763233        0.05868634
        3.28075567        1.59117334        0.07092946        0.81521047        0.64531680        0.05971662
        3.34764530        1.53206499        0.06562997        0.77878369        0.62780893        0.05984240
        3.41453493        1.84601413        0.07348014        0.91771839        0.77745996        0.07735565
        3.48142456        1.41709432        0.06074572        0.71414496        0.58392304        0.05828060
        3.54831419        1.35226178        0.06035606        0.67834119        0.55698512        0.05657942
        3.61520383        1.28923149        0.06154383        0.64295046        0.52973262        0.05500458
        3.68209346        1.22495678        0.06425719        0.60609006        0.50104233        0.05356719
        3.74898309        1.15396355        0.06661115        0.56612204        0.46937808        0.05185228
        3.81587272        1.07095949        0.06694353        0.52123877        0.43335298        0.04942422
        3.88276235        0.97830881        0.06583300        0.47244411        0.39361883        0.04641288
        3.94965199        0.87925270        0.06331418        0.42086544        0.35207200        0.04300108
        4.01654162        0.87713406        0.06738935        0.41502871        0.35029869        0.04441731
        4.08343125        0.89287119        0.07145320        0.41835418        0.35630542        0.04675839
        4.15032088        0.95606394        0.07958102        0.44469805        0.37989070        0.05189417
        4.21721052        1.06866137        0.09418392        0.48978998        0.42363106        0.06105641
        4.28410015        1.19636080        0.11371822        0.53600405        0.47436748        0.07227104
        4.35098978        1.32420348        0.13067479        0.58812712        0.52338774        0.08201383
        4.41787941        1.51728966        0.14511950        0.68556293        0.59427796        0.09232926
        4.48476904        1.50502836        0.14006165        0.69797339        0.57832111        0.08867222
        4.55165868        1.45340211        0.12963805        0.68932132        0.55167076        0.08277197
        4.61854831        1.43395328        0.12106325        0.68912082        0.54394037        0.07982883
        4.68543794        1.33572096        0.10422242        0.64506253        0.51214644        0.07428957
        4.75232757        1.18056681        0.09024211        0.56873664        0.45420954        0.06737853
        4.81921720        1.13260987        0.08446247        0.54278282        0.43918340        0.06618118
        4.88610684        1.10529716        0.08100256        0.52371863        0.43392346        0.06665251
        4.95299647        1.15128307        0.08098987        0.54221780        0.45739267        0.07068273
        5.01988610        1.11818747        0.07737454        0.53008801        0.44155102        0.06917390
